Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y,phase,img_name
0.400524,0.535218,0.398993,0.54599,0.391379,0.545959,0.382158,0.556921,0,0,0.405189,0.546085,0.408245,0.559737,0.403634,0.554271,0.400583,0.578736,0.397539,0.578724,0.399,0.61417,0.399011,0.636072,0.405154,0.578697,0.405183,0.611427,0.406687,0.638785,0.39905,0.535136,0.400559,0.535082,0.397502,0.535122,0.402114,0.535167,0.405168,0.64423,0.406672,0.644235,0.408209,0.644153,0,0,0,0,0.399056,0.641465,right,frame_0054
0.391326,0.543257,0.389846,0.53515,0.386829,0.535147,0.383707,0.540509,0.382134,0.548691,0.391338,0.535196,0.386763,0.546011,0.383679,0.55138,0.379118,0.537929,0.377537,0.537806,0.363756,0.546089,0.359149,0.559617,0.38211,0.540558,0.372937,0.556875,0.363753,0.565155,0.392928,0.540488,0.39286,0.537891,0.391406,0.53507,0.389813,0.537775,0.36527,0.575934,0.365314,0.573294,0.362213,0.565134,0.359145,0.567839,0.357658,0.565079,0.357589,0.559661,right,frame_0057
0.267119,0.366044,0.23647,0.396035,0.236483,0.395995,0.227243,0.475111,0.218084,0.551402,0.228803,0.38785,0,0,0,0,0.216495,0.543269,0.218041,0.545981,0.227241,0.649685,0.233366,0.766941,0.218057,0.543327,0.228806,0.649705,0,0,0.264086,0.357803,0.273241,0.357791,0.253349,0.352391,0,0,0,0,0,0,0,0,0,0,0,0,0.236469,0.766971,right,frame_0059
0.438973,0.48883,0.438938,0.491333,0.437354,0.491324,0.435861,0.494095,0.437353,0.496868,0.441964,0.491341,0.44355,0.49427,0.441935,0.496892,0.437378,0.502346,0.435918,0.502354,0.4358,0.510531,0.432801,0.524254,0.437446,0.502351,0.435873,0.513215,0.434306,0.526908,0.438927,0.488645,0.440418,0.4887,0.437462,0.48855,0.441984,0.488684,0.437394,0.529595,0.435878,0.529649,0.432829,0.529705,0.434355,0.52418,0.434344,0.524199,0.432734,0.529697,right,frame_0061
0.460308,0.475073,0.458935,0.477897,0.45886,0.475223,0.458769,0.485905,0.458819,0.488752,0.460317,0.477896,0.46035,0.488665,0.460362,0.488792,0.45734,0.494146,0.457301,0.49159,0.454247,0.505078,0.449607,0.515931,0.457372,0.494196,0.45429,0.5078,0.449671,0.515946,0.460308,0.472455,0.460327,0.475052,0.458964,0.472388,0.460297,0.477762,0,0,0,0,0.449623,0.51608,0.448164,0.518754,0.448171,0.518694,0.448141,0.518697,middle,frame_0062
0.507969,0.469626,0.507977,0.466865,0.507923,0.464238,0.50025,0.472351,0.50031,0.472382,0.509432,0.464243,0.509479,0.480558,0.507919,0.483205,0.507977,0.49417,0.507963,0.494194,0.514057,0.510493,0.51714,0.516002,0.509424,0.494185,0.515634,0.513214,0.517106,0.516027,0.50948,0.461514,0.507915,0.461468,0.510959,0.456081,0.50798,0.458786,0,0,0,0,0.518642,0.518762,0,0,0,0,0.51864,0.518731,middle,frame_0064
0.538632,0.456006,0.537039,0.458813,0.534014,0.458712,0.532435,0.464238,0.532502,0.469592,0.541684,0.464021,0.54466,0.469527,0.54326,0.469769,0.54016,0.472311,0.537084,0.469735,0.544687,0.485992,0.546224,0.494239,0.543124,0.472345,0.544831,0.485987,0.546248,0.491516,0.538618,0.453309,0.538653,0.453354,0.535605,0.453311,0.541643,0.461375,0,0,0,0,0,0,0.547865,0.502366,0.54781,0.499653,0.547822,0.502333,middle,frame_0065
0.705757,0.47505,0.713458,0.565147,0.675084,0.576035,0.67664,0.66058,0,0,0.764052,0.554225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696601,0.461416,0.714982,0.455973,0.687406,0.475137,0.739527,0.466883,0,0,0,0,0,0,0,0,0,0,0,0,left,frame_0066
0.572389,0.458748,0.578438,0.464129,0.572318,0.461508,0.560146,0.472445,0,0,0.583073,0.464108,0.592283,0.483286,0.589201,0.483234,0.581569,0.518771,0.576986,0.518748,0.575442,0.565075,0.576937,0.600521,0.586145,0.518799,0.587656,0.562418,0.589187,0.600581,0.573857,0.45597,0.573897,0.453244,0.573873,0.453248,0.57849,0.450518,0.584615,0.608715,0.587667,0.614163,0.590712,0.603328,0.573896,0.608725,0.570838,0.608736,0.576972,0.600578,left,frame_0067
0.581584,0.447784,0.581502,0.456055,0.573874,0.456007,0.569291,0.469665,0.573903,0.458683,0.587668,0.45873,0.593849,0.472344,0.592262,0.469612,0.578472,0.505017,0.572397,0.502367,0.570824,0.537818,0.567753,0.565097,0.581583,0.505069,0.583036,0.537774,0.584599,0.562444,0.581548,0.445143,0.583068,0.445062,0.580008,0.445066,0.584607,0.445088,0.586129,0.570536,0.589199,0.570602,0.584621,0.56516,0.569292,0.573262,0.564711,0.570627,0.567745,0.567813,left,frame_0068
