Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y,phase
0.544713,0.404123,0.540157,0.417727,0.540138,0.41776,0.540118,0.428795,0.540162,0.439678,0.540158,0.41775,0.541667,0.431484,0.541714,0.442312,0.540161,0.445166,0.540148,0.445152,0.543144,0.469688,0.543162,0.491481,0.540172,0.445141,0.543201,0.469733,0.543226,0.491521,0.544697,0.398789,0.543228,0.401388,0.543218,0.401478,0.540141,0.40409,0.543237,0.494224,0.544715,0.494232,0.544703,0.494163,0.541686,0.494162,0.541696,0.494152,0.54167,0.496854,middle
0.40985,0.510379,0.409792,0.510502,0.409647,0.510521,0.408141,0.51324,0.408223,0.515996,0.411219,0.510557,0.411284,0.513407,0.411218,0.515953,0.408196,0.518704,0.406645,0.518788,0.405163,0.52149,0.397444,0.535239,0.408283,0.518765,0.408227,0.518865,0.397552,0.537751,0.409858,0.507806,0.409889,0.510341,0.409825,0.507718,0.409889,0.510381,0.400571,0.543259,0.402106,0.537936,0.397471,0.540622,0.395978,0.543213,0.395984,0.537949,0.394407,0.543285,right
0.581563,0.456005,0.580022,0.466854,0.570865,0.461447,0.564684,0.477833,0.576941,0.469646,0.587709,0.466906,0.59381,0.483265,0.593824,0.480516,0.580044,0.515996,0.573908,0.516003,0.572378,0.559655,0.570813,0.589712,0.586122,0.516028,0.586144,0.556939,0.587675,0.589656,0.580032,0.453215,0.583048,0.45321,0.578479,0.453222,0.58314,0.453231,0.589224,0.592351,0.590727,0.592388,0.589193,0.589694,0.57081,0.592383,0.566239,0.592443,0.570819,0.589722,left
0.593778,0.442409,0.592325,0.445158,0.590754,0.445191,0.590768,0.456027,0.593822,0.464081,0.593838,0.44516,0.595381,0.450648,0.595411,0.455982,0.595316,0.464074,0.593827,0.464176,0.602991,0.472441,0.612261,0.488784,0.595406,0.461398,0.606077,0.472348,0.613732,0.488669,0.592348,0.442265,0.593777,0.44232,0.592282,0.442312,0.593812,0.444954,0.616823,0.488696,0.616823,0.488662,0.615273,0.491357,0.613788,0.491404,0.613773,0.49145,0.612247,0.491514,left
0.578519,0.426021,0.579965,0.431376,0.572322,0.431539,0.57083,0.447927,0.570837,0.466937,0.58314,0.428657,0.590721,0.442352,0.593785,0.456005,0.583035,0.455983,0.578497,0.458736,0.586125,0.467009,0.598398,0.486058,0.586133,0.453266,0.593816,0.466831,0.598462,0.485886,0.576984,0.425907,0.57997,0.425861,0.575375,0.425903,0.581484,0.423268,0.601463,0.491494,0.601476,0.488777,0.601475,0.488641,0.599934,0.494234,0.598455,0.494243,0.599984,0.488687,left
0.54324,0.406995,0.544729,0.409612,0.535532,0.412354,0.530968,0.426048,0.5309,0.439673,0.553929,0.406888,0.557036,0.420582,0.560102,0.445103,0.546328,0.436839,0.54316,0.439591,0.544706,0.464076,0.54779,0.483201,0.552402,0.43149,0.557028,0.45333,0.563126,0.472397,0.541654,0.404252,0.544752,0.404273,0.538597,0.406875,0.547807,0.401503,0.566227,0.480546,0.56778,0.475122,0.563176,0.475104,0.546317,0.491409,0.544709,0.49137,0.549334,0.483267,left
0.498718,0.387885,0.500256,0.37973,0.49107,0.379684,0.481875,0.398713,0.478792,0.425968,0.511027,0.382329,0.518621,0.398771,0.515613,0.423229,0.500241,0.401484,0.49409,0.401431,0.484879,0.434213,0.472622,0.464209,0.507867,0.40414,0.497222,0.445097,0.48185,0.469655,0.497165,0.385002,0.500294,0.385065,0.495618,0.382272,0.506405,0.382302,0.471121,0.483229,0.475724,0.483221,0.481841,0.466929,0.465009,0.475136,0.461905,0.469684,0.469578,0.469604,middle
0.457302,0.346852,0.457285,0.349565,0.448077,0.346855,0.440469,0.368785,0.437392,0.387784,0.464956,0.352301,0.466513,0.37684,0.458852,0.390575,0.451189,0.374201,0.446549,0.374099,0.432729,0.393267,0.411253,0.415145,0.457318,0.376915,0.44505,0.404092,0.431235,0.426029,0.455787,0.34152,0.458842,0.341569,0.452709,0.341393,0.460438,0.341539,0.426661,0.436956,0.429739,0.439661,0.431185,0.426039,0.408249,0.428794,0.403643,0.423293,0.408206,0.417836,right
0.445022,0.338779,0.444989,0.344136,0.434349,0.338746,0.42814,0.360488,0.423538,0.384999,0.452734,0.349556,0.446608,0.376827,0.432784,0.395942,0.437428,0.36874,0.434268,0.366059,0.423606,0.38238,0.422007,0.406929,0.444993,0.371444,0.435833,0.390585,0.42517,0.409707,0.441983,0.335994,0.446585,0.336087,0.438876,0.335932,0.449653,0.338612,0.426627,0.423242,0.428188,0.420607,0.425128,0.412394,0.420532,0.409711,0.420476,0.409663,0.418994,0.409585,right
0.483341,0.346954,0.481842,0.341354,0.469552,0.338687,0.454235,0.338657,0.452724,0.360486,0.49413,0.344232,0.504861,0.360449,0.501789,0.382462,0.472686,0.357841,0.466478,0.355052,0.458797,0.37953,0.438935,0.406916,0.481841,0.363235,0.484903,0.384995,0.468031,0.412433,0.481796,0.341449,0.48493,0.344113,0.475741,0.336074,0.489531,0.341453,0.471165,0.434164,0.472704,0.431412,0.461939,0.412394,0.443498,0.423309,0.437357,0.420485,0.435817,0.406937,right
